Timestamp,X,Y,Z,Battery,Comms
2025-06-06 22:49:38,-22,-32,-45,1,ON
2025-06-06 22:49:38,-32,51,46,1,ON
2025-06-06 22:49:38,70,-10,84,1,ON
2025-06-06 22:49:39,2,-6,-17,1,ON
2025-06-06 22:49:39,-91,-118,-117,1,ON
2025-06-06 22:49:40,68,41,146,1,ON
2025-06-06 22:49:40,-62,-30,-107,1,ON
2025-06-06 22:49:40,22,35,31,1,ON
2025-06-06 22:49:41,86,17,98,1,ON
2025-06-06 22:49:41,-138,-76,-93,1,ON
2025-06-06 22:49:42,83,116,132,1,ON
2025-06-06 22:49:42,-110,-241,-163,1,ON
2025-06-06 22:49:42,55,108,167,1,ON
2025-06-06 22:49:43,28,-46,-3,1,ON
2025-06-06 22:49:43,-167,-196,-72,1,ON
2025-06-06 22:49:44,159,147,201,1,ON
2025-06-06 22:49:44,-111,-35,-66,1,ON
2025-06-06 22:49:44,86,-62,14,0,ON
2025-06-06 22:49:45,0,-16,3,1,ON
2025-06-06 22:49:45,1,0,-2,1,ON
2025-06-06 22:49:46,-143,-60,-119,2,ON
2025-06-06 22:49:46,-1,11,15,1,ON
2025-06-06 22:49:46,-63,-33,-60,1,ON
2025-06-06 22:49:47,51,-19,38,1,ON
2025-06-06 22:49:47,28,14,36,1,ON
2025-06-06 22:49:48,149,25,92,1,ON
2025-06-06 22:49:48,-217,-225,-200,1,ON
2025-06-06 22:49:48,160,120,139,1,ON
2025-06-06 22:49:49,-247,-169,-169,1,ON
2025-06-06 22:49:49,76,77,119,1,ON
2025-06-06 22:49:50,45,-6,45,1,ON
2025-06-06 22:49:50,-70,-99,-95,1,ON
2025-06-06 22:49:50,-28,15,41,1,ON
2025-06-06 22:49:51,65,14,39,1,ON
2025-06-06 22:49:51,-53,-76,-234,1,ON
2025-06-06 22:49:52,227,162,224,1,ON
2025-06-06 22:49:52,-269,-143,-101,1,ON
2025-06-06 22:49:52,105,-58,93,0,ON
2025-06-06 22:49:53,0,37,56,1,ON
2025-06-06 22:49:53,183,57,113,1,ON
2025-06-06 22:49:54,-195,-63,-110,0,ON
2025-06-06 22:49:54,261,101,181,1,ON
2025-06-06 22:49:54,-253,-183,-217,1,ON
2025-06-06 22:49:55,246,-15,50,1,ON
2025-06-06 22:49:55,14,-5,-6,1,ON
2025-06-06 22:49:56,12,-65,-100,1,ON
2025-06-06 22:49:56,106,91,121,1,ON
2025-06-06 22:49:56,-91,-51,-100,1,ON
2025-06-06 22:49:57,80,-5,144,1,ON
2025-06-06 22:49:57,-15,22,-45,1,ON
2025-06-06 22:49:58,-14,-51,-10,1,ON
2025-06-06 22:49:58,4,12,0,1,ON
2025-06-06 22:49:58,-3,-2,-1,1,ON
